,Player,Span,ODIMatches,Innings,Balls,Runs,Wkts,BBI,AVG,Economy,Strikerate,4,5
28,MG Johnson (AUS),2005-2015,153,150,7489,6038,239,6/31,25.26,4.83,31.3,9,3
29,HH Streak (Afr/ZIM),1993-2005,189,185,9468,7129,239,5/32,29.82,4.51,39.6,7,1
30,D Gough (ENG/ICC),1994-2006,159,156,8470,6209,235,5/44,26.42,4.39,36.0,10,2
31,CA Walsh (WI),1985-2000,205,204,10822,6918,227,5/1,30.47,3.83,47.6,6,1
32,CEL Ambrose (WI),1988-2000,176,175,9353,5429,225,5/17,24.12,3.48,41.5,6,4
33,Abdur Razzak (BAN),2004-2014,153,152,7965,6065,207,5/29,29.29,4.56,38.4,5,4
34,CZ Harris (NZ),1990-2004,250,232,10667,7613,203,5/42,37.50,4.28,52.5,2,1
35,CJ McDermott (AUS),1985-1996,138,138,7461,5018,203,5/44,24.71,4.03,36.7,4,1
36,CL Cairns (ICC/NZ),1991-2006,215,186,8168,6594,201,5/42,32.80,4.84,40.6,3,1
37,DJ Bravo (WI),2004-2014,164,150,6511,5874,199,6/43,29.51,5.41,32.7,6,1
38,KMDN Kulasekara (SL),2003-2017,184,181,8263,6751,199,5/22,33.92,4.90,41.5,4,1
39,BKV Prasad (INDIA),1994-2001,161,160,8129,6332,196,5/27,32.30,4.67,41.4,3,1
40,DW Steyn (Afr/SA),2005-2019,125,124,6256,5087,196,6/39,25.95,4.87,31.9,4,3
41,MA Starc (AUS),2010-2021,99,99,5099,4379,195,6/28,22.45,5.15,26.1,11,8
42,SR Waugh (AUS),1986-2002,325,207,8883,6761,195,4/33,34.67,4.56,45.5,3,0
43,CL Hooper (WI),1987-2003,227,203,9573,6958,193,4/34,36.05,4.36,49.6,3,0
44,L Klusener (SA),1996-2004,171,164,7336,5751,192,6/49,29.95,4.70,38.2,1,6
45,TG Southee (NZ),2008-2020,143,141,7195,6558,190,7/33,34.51,5.46,37.8,4,3
46,RA Jadeja (INDIA),2009-2020,168,164,8557,7024,188,5/36,37.36,4.92,45.5,7,1
47,M Morkel (Afr/SA),2007-2018,117,114,5760,4761,188,5/21,25.32,4.95,30.6,7,2
48,CRD Fernando (Asia/SL),2001-2012,147,141,6507,5648,187,6/27,30.20,5.20,34.7,3,1
49,Saeed Ajmal (PAK),2008-2015,113,112,6000,4182,184,5/24,22.72,4.18,32.6,6,2
50,Aaqib Javed (PAK),1988-1998,163,159,8012,5721,182,7/37,31.43,4.28,44.0,2,4
51,Imran Khan (PAK),1974-1992,175,153,7461,4844,182,6/14,26.61,3.89,40.9,3,1
52,Umar Gul (PAK),2003-2016,130,128,6064,5253,179,6/42,29.34,5.19,33.8,4,2
53,SCJ Broad (ENG),2006-2016,121,121,6109,5364,178,5/23,30.13,5.26,34.3,9,1
54,NLTC Perera (SL),2009-2021,166,157,5900,5740,175,6/44,32.80,5.83,33.7,5,4
55,NW Bracken (AUS),2001-2009,116,116,5759,4240,174,5/47,24.36,4.41,33.0,5,2
56,Imran Tahir (SA),2011-2019,107,104,5541,4297,173,7/45,24.83,4.65,32.0,7,3
57,JDP Oram (NZ),2001-2012,160,154,6911,5047,173,5/26,29.17,4.38,39.9,3,2
58,IK Pathan (INDIA),2004-2012,120,118,5855,5142,173,5/27,29.72,5.26,33.8,5,2
59,TA Boult (NZ),2012-2021,93,93,5117,4261,169,7/34,25.21,4.99,30.2,8,5
60,A Flintoff (ENG/ICC),1999-2009,141,119,5624,4121,169,5/19,24.38,4.39,33.2,6,2
61,SR Watson (AUS),2002-2015,190,163,6466,5342,168,4/36,31.79,4.95,38.4,3,0
62,CH Gayle (ICC/WI),1999-2019,301,199,7424,5926,167,5/46,35.48,4.78,44.4,3,1
63,Mushtaq Ahmed (PAK),1989-2003,144,142,7543,5361,161,5/36,33.29,4.26,46.8,3,1
64,AU Rashid (ENG),2009-2021,112,106,5573,5251,159,5/27,33.02,5.65,35.0,7,2
65,Sir RJ Hadlee (NZ),1973-1990,115,112,6182,3407,158,5/25,21.56,3.30,39.1,1,5
66,Shoaib Malik (PAK),1999-2019,287,217,7958,6192,158,4/19,39.18,4.66,50.3,1,0
67,MD Marshall (WI),1980-1992,136,134,7175,4233,157,4/18,26.96,3.53,45.7,6,0
68,A Nehra (Asia/INDIA),2001-2011,120,120,5751,4981,157,6/23,31.72,5.19,36.6,5,2
69,M Prabhakar (INDIA),1984-1996,130,127,6360,4534,157,5/33,28.87,4.27,40.5,4,2
70,GB Hogg (AUS),1996-2008,123,113,5564,4188,156,5/32,26.84,4.51,35.6,3,2
71,CR Woakes (ENG),2011-2021,106,102,5016,4567,155,6/45,29.46,5.46,32.3,10,3
72,SR Tendulkar (INDIA),1989-2012,463,270,8054,6850,154,5/32,44.48,5.10,52.2,4,2
73,BAW Mendis (SL),2008-2015,87,84,4154,3324,152,6/13,21.86,4.80,27.3,7,3
74,R Ashwin (INDIA),2010-2022,113,111,6141,5058,151,4/25,33.49,4.94,40.6,1,0
75,UDU Chandana (SL),1994-2007,147,136,6142,4818,151,5/61,31.90,4.70,40.6,4,1
76,Rashid Khan (AFG),2015-2022,80,76,4074,2821,151,7/18,18.68,4.15,26.9,5,4
77,Mohammed Shami (INDIA),2013-2020,79,78,4044,3793,148,5/69,25.62,5.62,27.3,9,1
78,SE Bond (NZ),2002-2010,82,80,4295,3070,147,6/19,20.88,4.28,29.2,7,4
79,J Garner (WI),1977-1987,98,98,5330,2752,146,5/31,18.84,3.09,36.5,2,3
80,JO Holder (WI),2013-2022,127,123,5863,5412,146,5/27,37.06,5.53,40.1,5,2
81,IT Botham (ENG),1976-1992,116,115,6271,4139,145,4/31,28.54,3.96,43.2,3,0
82,TM Odoyo (Afr/KENYA),1996-2014,136,129,5649,4335,145,4/25,29.89,4.60,38.9,5,0
83,JN Gillespie (AUS),1996-2005,97,96,5144,3611,142,5/22,25.42,4.21,36.2,3,3
84,MA Holding (WI),1976-1987,102,102,5473,3034,142,5/26,21.36,3.32,38.5,5,1
85,B Kumar (INDIA),2012-2022,121,120,5847,4951,141,5/42,35.11,5.08,41.4,4,1
86,EJ Chatfield (NZ),1979-1989,114,112,6065,3618,140,5/34,25.84,3.57,43.3,3,1
87,Mohammad Hafeez (PAK),2003-2019,218,177,7733,5400,139,4/41,38.84,4.18,55.6,1,0
88,HDPK Dharmasena (SL),1994-2004,141,134,7009,4998,138,4/37,36.21,4.27,50.7,1,0
89,SB Styris (NZ),1999-2011,188,161,6114,4839,137,6/25,35.32,4.74,44.6,4,1
90,MF Maharoof (SL),2004-2016,109,105,4640,3789,135,6/14,28.06,4.89,34.3,4,2
91,LE Plunkett (ENG),2005-2019,89,87,4137,4010,135,5/52,29.70,5.81,30.6,6,1
92,DW Fleming (AUS),1994-2001,88,88,4619,3402,134,5/36,25.38,4.41,34.4,4,1
93,Mohammad Nabi (AFG),2009-2022,130,126,6243,4459,134,4/30,33.27,4.28,46.5,3,0
94,A Symonds (AUS),1998-2009,198,158,5935,4955,133,5/18,37.25,5.00,44.6,2,1
95,P Utseya (ZIM),2004-2015,164,160,8571,6239,133,5/36,46.90,4.36,64.4,2,1
96,Abdul Qadir (PAK),1983-1993,104,100,5100,3454,132,5/44,26.16,4.06,38.6,4,2
97,K Rabada (SA),2015-2022,85,83,4363,3655,132,6/16,27.68,5.02,33.0,6,2
98,Mustafizur Rahman (BAN),2015-2022,74,73,3606,3098,131,6/43,23.64,5.15,27.5,3,5
99,M Dillon (WI),1997-2005,108,107,5480,4218,130,5/29,32.44,4.61,42.1,3,3
100,Rubel Hossain (BAN),2009-2021,104,102,4678,4427,129,6/26,34.31,5.67,36.2,7,1
101,RJ Shastri (INDIA),1981-1992,150,136,6613,4650,129,5/15,36.04,4.21,51.2,2,1
102,JE Taylor (WI),2003-2017,90,88,4341,3780,128,5/48,29.53,5.22,33.9,3,1
103,DK Morrison (NZ),1987-1996,96,95,4586,3470,126,5/34,27.53,4.53,36.3,1,2
104,Mohammad Rafique (Asia/BAN),1995-2007,125,124,6414,4739,125,5/47,37.91,4.43,51.3,3,1
105,KAJ Roach (WI),2008-2022,95,93,4579,3885,125,6/27,31.08,5.09,36.6,3,3
106,Azhar Mahmood (PAK),1996-2007,143,139,6242,4813,123,6/18,39.13,4.62,50.7,2,3
107,Mohammad Sami (PAK),2001-2015,87,85,4284,3567,121,5/10,29.47,4.99,35.4,3,1
108,AD Mathews (SL),2008-2021,218,158,5191,4003,120,6/20,33.35,4.62,43.2,2,1
109,Wahab Riaz (PAK),2008-2020,91,90,4327,4117,120,5/46,34.30,5.70,36.0,5,1
110,AG Cremer (ZIM),2009-2018,96,95,4680,3597,119,6/46,30.22,4.61,39.3,4,3
111,IR Bishop (WI),1988-1997,84,83,4332,3127,118,5/25,26.50,4.33,36.7,7,2
112,IVA Richards (WI),1975-1991,187,131,5644,4228,118,6/41,35.83,4.49,47.8,1,2
113,R Rampaul (WI),2003-2015,92,88,4033,3434,117,5/49,29.35,5.10,34.4,8,2
114,Dawlat Zadran (AFG),2011-2019,82,80,3769,3423,115,4/22,29.76,5.44,32.7,3,0
115,PAJ DeFreitas (ENG),1987-1997,103,103,5712,3775,115,4/35,32.82,3.96,49.6,1,0
116,I Sharma (INDIA),2007-2016,80,78,3733,3563,115,4/34,30.98,5.72,32.4,6,0
117,WJ Cronje (SA),1992-2000,188,153,5357,3966,114,5/32,34.78,4.44,46.9,1,1
118,KJ O'Brien (IRE),2006-2021,153,116,4296,3726,114,4/13,32.68,5.20,37.6,5,0
119,MC Snedden (NZ),1980-1990,93,90,4525,3237,114,4/34,28.39,4.29,39.6,1,0
120,JJ Bumrah (INDIA),2016-2022,70,70,3703,2873,113,5/27,25.42,4.65,32.7,5,1
121,GR Larsen (NZ),1990-1999,121,119,6368,4000,113,4/24,35.39,3.76,56.3,1,0
122,PD Collingwood (ENG),2001-2011,197,151,5186,4294,111,6/31,38.68,4.96,46.7,3,1
123,PJ Cummins (AUS),2011-2020,69,69,3651,3195,111,5/70,28.78,5.25,32.8,5,1
124,Mudassar Nazar (PAK),1977-1989,122,104,4855,3432,111,5/28,30.91,4.24,43.7,1,1
125,Yuvraj Singh (Asia/INDIA),2000-2017,304,161,5048,4294,111,5/31,38.68,5.10,45.4,2,1
126,Junaid Khan (PAK),2011-2019,76,76,3601,3216,110,4/12,29.23,5.35,32.7,4,0
127,Naved-ul-Hasan (PAK),2003-2010,74,72,3466,3221,110,6/27,29.28,5.57,31.5,6,1
128,DR Tuffey (NZ),2000-2010,94,92,4333,3534,110,4/24,32.12,4.89,39.3,2,0
129,TT Bresnan (ENG),2006-2015,85,84,4221,3813,109,5/48,34.98,5.42,38.7,3,1
130,Kuldeep Yadav (INDIA),2017-2022,66,64,3528,3084,109,6/25,28.29,5.24,32.3,4,1
131,RAS Lakmal (SL),2009-2021,86,84,3881,3534,109,4/13,32.42,5.46,35.6,3,0
132,GP Wickramasinghe (SL),1990-2002,134,132,5720,4321,109,4/48,39.64,4.53,52.4,1,0
133,SP O'Donnell (AUS),1985-1991,87,87,4350,3102,108,5/13,28.72,4.27,40.2,5,1
134,DNT Zoysa (SL),1997-2007,95,93,4259,3213,108,5/26,29.75,4.52,39.4,2,1
135,PA de Silva (SL),1984-2003,308,156,5148,4177,106,4/30,39.40,4.86,48.5,2,0
136,TM Dilshan (SL),1999-2016,330,204,5880,4778,106,4/4,45.07,4.87,55.4,3,0
137,A Nel (SA),2001-2008,79,76,3801,2935,106,5/45,27.68,4.63,35.8,3,1
138,WB Rankin (ENG/IRE),2007-2020,75,73,3702,2955,106,4/15,27.87,4.78,34.9,4,0
139,PR Reiffel (AUS),1992-1999,92,92,4732,3096,106,4/13,29.20,3.92,44.6,5,0
140,UT Yadav (INDIA),2010-2018,75,73,3558,3565,106,4/31,33.63,6.01,33.5,4,0
141,YS Chahal (INDIA),2016-2022,61,60,3306,2854,104,6/42,27.44,5.17,31.7,3,2
142,GW Flower (ZIM),1992-2010,221,156,5462,4225,104,4/32,40.62,4.64,52.5,2,0
143,GP Swann (ENG),2000-2013,79,76,3809,2888,104,5/28,27.76,4.54,36.6,3,1
144,MJ Henry (NZ),2014-2022,57,55,2970,2605,103,5/30,25.29,5.26,28.8,9,2
145,DK Lillee (AUS),1972-1983,63,63,3593,2145,103,5/34,20.82,3.58,34.8,5,1
146,C Pringle (NZ),1990-1995,64,64,3314,2459,103,5/45,23.87,4.45,32.1,2,1
147,A Zampa (AUS),2016-2022,67,67,3556,3274,103,4/38,31.78,5.52,34.5,4,0
148,ST Finn (ENG),2011-2017,69,67,3550,2996,102,5/33,29.37,5.06,34.8,4,2
149,E Chigumbura (Afr/ZIM),2004-2018,213,132,4339,4274,101,4/28,42.31,5.91,42.9,1,0
150,WKM Benjamin (WI),1986-1995,85,85,4442,3079,100,5/22,30.79,4.15,44.4,0,1
151,TL Chatara (ZIM),2013-2022,76,76,3737,3205,100,4/33,32.05,5.14,37.3,1,0
152,SC Ganguly (Asia/INDIA),1992-2007,311,171,4561,3849,100,5/16,38.49,5.06,45.6,1,2
153,RA Harper (WI),1983-1996,105,99,5175,3431,100,4/40,34.31,3.97,51.7,3,0
154,CK Langeveldt (SA),2001-2010,72,71,3489,2962,100,5/39,29.62,5.09,34.8,1,2
155,RW Price (ZIM),2002-2012,102,99,5374,3575,100,4/22,35.75,3.99,53.7,1,0
156,NJ Astle (NZ),1995-2007,223,159,4850,3809,99,4/43,38.47,4.71,48.9,1,0
157,CJ McKay (AUS),2009-2014,59,59,2965,2364,97,5/28,24.37,4.78,30.5,4,2
158,PL Taylor (AUS),1987-1992,83,80,3937,2740,97,4/38,28.24,4.17,40.5,1,0
159,N Boje (Afr/SA),1995-2005,115,108,4541,3415,96,5/21,35.57,4.51,47.3,2,1
160,JP Faulkner (AUS),2013-2017,69,67,3211,2962,96,4/32,30.85,5.53,33.4,4,0
161,V Sehwag (Asia/ICC/INDIA),1999-2013,251,146,4392,3853,96,4/6,40.13,5.26,45.7,1,0
162,PA Strang (ZIM),1994-2001,95,89,4351,3173,96,5/21,33.05,4.37,45.3,2,2
163,PS de Villiers (SA),1992-1997,83,82,4422,2636,95,4/27,27.74,3.57,46.5,2,0
164,AJ Hall (SA),1999-2007,88,78,3341,2515,95,5/18,26.47,4.51,35.1,3,1
165,WD Parnell (SA),2009-2022,67,63,2934,2749,95,5/48,28.93,5.62,30.8,3,2
166,SO Tikolo (Afr/KENYA),1996-2014,135,99,4016,3215,94,4/41,34.20,4.80,42.7,2,0
167,LL Tsotsobe (SA),2009-2013,61,60,2964,2347,94,4/22,24.96,4.75,31.5,7,0
168,GH Dockrell (IRE),2010-2022,99,92,4382,3487,93,4/24,37.49,4.77,47.1,4,0
169,JR Hazlewood (AUS),2010-2021,56,55,2969,2333,93,6/52,25.08,4.71,31.9,1,3
170,CB Mpofu (ZIM),2004-2020,84,83,3960,3581,93,6/52,38.50,5.42,42.5,2,1
171,SP Narine (WI),2011-2016,65,65,3540,2435,92,6/27,26.46,4.12,38.4,4,2
172,AC Cummins (CAN/WI),1991-2007,76,74,3767,2877,91,5/31,31.61,4.58,41.3,2,1
173,BP Patterson (WI),1986-1993,59,58,3050,2206,90,6/29,24.51,4.33,33.8,1,1
174,BL Cairns (NZ),1974-1985,78,75,4015,2717,89,5/28,30.52,4.06,45.1,2,1
175,Hasan Ali (PAK),2016-2022,58,56,2790,2666,89,5/34,29.95,5.73,31.3,1,4
176,Saleem Malik (PAK),1982-1999,283,120,3505,2959,89,5/35,33.24,5.06,39.3,1,1
177,MN Samuels (WI),2000-2018,207,134,5091,4127,89,3/12,46.37,4.86,57.2,0,0
178,TM Alderman (AUS),1981-1991,65,65,3371,2056,88,5/17,23.36,3.65,38.3,1,2
179,GF Lawson (AUS),1980-1989,79,79,4259,2592,88,4/26,29.45,3.65,48.3,1,0
180,GJ Whittall (ZIM),1993-2003,147,112,4060,3481,88,4/35,39.55,5.14,46.1,1,0
181,MM Ali (ENG),2014-2021,112,104,5056,4424,87,4/46,50.85,5.25,58.1,1,0
182,AL Phehlukwayo (SA),2016-2022,72,68,2851,2727,87,4/22,31.34,5.73,32.7,3,0
183,AME Roberts (WI),1975-1983,56,56,3123,1771,87,5/22,20.35,3.40,35.8,2,1
184,MM Patel (INDIA),2006-2011,70,67,3154,2603,86,4/29,30.26,4.95,36.6,3,0
185,Aamer Sohail (PAK),1990-2000,156,125,4836,3703,85,4/22,43.56,4.59,56.8,1,0
186,IJ Harvey (AUS),1997-2004,73,70,3279,2577,85,4/16,30.31,4.71,38.5,4,0
187,RM Hogg (AUS),1979-1985,71,67,3677,2418,85,4/29,28.44,3.94,43.2,5,0
188,JR Ratnayeke (SL),1982-1990,78,76,3573,2866,85,4/23,33.71,4.81,42.0,1,0
189,ME Waugh (AUS),1988-2002,244,120,3687,2938,85,5/24,34.56,4.78,43.3,1,1
190,CD Collymore (WI),1999-2007,84,80,4074,2924,83,5/51,35.22,4.30,49.0,1,1
191,Mohammad Irfan (PAK),2010-2016,60,60,3109,2549,83,4/30,30.71,4.91,37.4,2,0
192,PV Simmons (WI),1987-1999,143,103,3880,2876,83,4/3,34.65,4.44,46.7,2,0
193,MJ McClenaghan (NZ),2013-2016,48,45,2336,2313,82,5/58,28.20,5.94,28.4,6,1
194,CG Rackemann (AUS),1983-1991,52,52,2791,1833,82,5/16,22.35,3.94,34.0,3,1
195,JEC Franklin (NZ),2001-2013,110,97,3848,3354,81,5/42,41.40,5.22,47.5,0,1
196,Mahmudullah (BAN),2007-2022,206,143,4236,3656,81,3/4,45.13,5.17,52.2,0,0
197,Mohammad Amir (PAK),2009-2019,61,60,3013,2400,81,5/30,29.62,4.77,37.1,1,1
198,DJG Sammy (WI),2004-2015,126,119,4956,3851,81,4/26,47.54,4.66,61.1,1,0
199,RGD Willis (ENG),1973-1984,64,64,3595,1968,80,4/11,24.60,3.28,44.9,4,0
200,CR Matthews (SA),1991-1997,56,55,3003,1975,79,4/10,25.00,3.94,38.0,3,0
201,A Ranatunga (SL),1982-1999,269,135,4710,3757,79,4/14,47.55,4.78,59.6,1,0
202,AJ Bichel (AUS),1997-2004,67,66,3257,2463,78,7/20,31.57,4.53,41.7,1,2
203,IDR Bradshaw (WI),2004-2007,62,62,3172,2299,78,3/15,29.47,4.34,40.6,0,0
204,Mujeeb Ur Rahman (AFG),2017-2022,49,48,2661,1761,78,5/50,22.57,3.97,34.1,3,1
205,PJ Ongondo (Afr/KENYA),1999-2011,79,79,3102,2350,78,5/51,30.12,4.54,39.7,1,1
206,RMH Binny (INDIA),1980-1987,72,67,2957,2260,77,4/29,29.35,4.58,38.4,3,0
207,Iftikhar Anjum (PAK),2004-2010,62,60,2960,2430,77,5/30,31.55,4.92,38.4,2,1
208,P Kumar (INDIA),2007-2012,68,67,3242,2774,77,4/31,36.02,5.13,42.1,3,0
209,R McLaren (SA),2009-2014,54,51,2403,2102,77,4/19,27.29,5.24,31.2,5,0
210,JE Emburey (ENG),1980-1993,61,61,3425,2346,76,4/37,30.86,4.10,45.0,2,0
211,SJ Harmison (ENG),2002-2009,58,57,2899,2481,76,5/33,32.64,5.13,38.1,2,1
212,RD King (WI),1998-2005,50,50,2603,1807,76,4/25,23.77,4.16,34.2,2,0
213,RJ Ratnayake (SL),1982-1993,70,70,3575,2712,76,5/32,35.68,4.55,47.0,1,1
214,SC Williams (ZIM),2005-2022,142,116,4428,3617,76,4/43,47.59,4.90,58.2,1,0
215,GB Brent (ZIM),1996-2008,70,69,3390,2776,75,4/22,37.01,4.91,45.2,3,0
216,RJ Peterson (SA),2002-2014,79,74,3278,2680,75,4/12,35.73,4.90,43.7,3,0
217,MJ Santner (NZ),2015-2021,75,70,3385,2742,75,5/50,36.56,4.86,45.1,0,1
218,S Sreesanth (INDIA),2005-2011,53,52,2476,2508,75,6/55,33.44,6.07,33.0,2,1
219,HMRKB Herath (SL),2004-2015,71,67,3242,2362,74,4/20,31.91,4.37,43.8,1,0
220,AR McBrine (IRE),2014-2022,65,61,3125,2276,74,5/29,30.75,4.36,42.2,2,1
221,TJ Murtagh (IRE),2012-2019,58,57,3020,2290,74,5/21,30.94,4.54,40.8,4,1
222,BA Stokes (ENG),2011-2021,101,85,3062,3078,74,5/61,41.59,6.03,41.3,1,1
223,W Watson (NZ),1986-1994,61,61,3251,2247,74,4/27,30.36,4.14,43.9,1,0
224,AR Border (AUS),1979-1994,273,87,2661,2071,73,3/20,28.36,4.66,36.4,0,0
225,RS Kalpage (SL),1992-1999,86,81,3960,2975,73,4/36,40.75,4.50,54.2,2,0
226,S Madan Lal (INDIA),1974-1987,67,64,3164,2137,73,4/20,29.27,4.05,43.3,2,0
227,J Botha (Afr/SA),2005-2012,78,75,3823,2916,72,4/19,40.50,4.57,53.0,1,0
228,GS Chappell (AUS),1971-1983,74,67,3108,2097,72,5/15,29.12,4.04,43.1,0,2
229,PL Symcox (SA),1993-1999,80,80,3991,2762,72,4/28,38.36,4.15,55.4,1,0
230,DBL Powell (WI),2002-2009,55,55,2850,2239,71,4/27,31.53,4.71,40.1,2,0
231,SM Sharif (SCOT),2011-2022,52,51,2469,2116,71,5/33,29.80,5.14,34.7,2,1
232,Sohail Tanvir (PAK),2007-2014,62,60,2949,2566,71,5/48,36.14,5.22,41.5,3,1
233,EA Brandes (ZIM),1987-1999,59,59,2828,2266,70,5/28,32.37,4.80,40.4,1,2
234,AS Joseph (WI),2016-2022,43,42,2186,1971,70,5/56,28.15,5.40,31.2,4,1
235,BM McMillan (SA),1991-1998,78,75,3623,2589,70,4/32,36.98,4.28,51.7,1,0
236,NN Odhiambo (KENYA),2006-2014,69,67,2808,2585,70,4/61,36.92,5.52,40.1,1,0
237,AD Russell (WI),2011-2019,56,55,2290,2229,70,4/35,31.84,5.84,32.7,5,0
238,Shafiul Islam (BAN),2010-2020,60,60,2540,2529,70,4/21,36.12,5.97,36.2,4,0
239,Bilal Khan (OMA),2019-2022,32,32,1673,1279,69,5/31,18.53,4.58,24.2,3,3
240,AR Caddick (ENG),1993-2003,54,53,2937,1965,69,4/19,28.47,4.01,42.5,3,0
241,JP Duminy (SA),2004-2019,199,135,3513,3143,69,4/16,45.55,5.36,50.9,1,0
242,LH Ferguson (NZ),2016-2020,37,37,1956,1779,69,5/45,25.78,5.45,28.3,2,1
243,SB Joshi (INDIA),1996-2001,69,67,3386,2509,69,5/6,36.36,4.44,49.0,1,1
244,RP Singh (INDIA),2005-2011,58,57,2565,2343,69,4/35,33.95,5.48,37.1,2,0
245,RR Singh (INDIA),1989-2001,136,117,3734,2985,69,5/22,43.26,4.79,54.1,0,2
246,DJ Willey (ENG),2015-2021,52,51,2305,2181,69,5/30,31.60,5.67,33.4,3,1
247,MA Wood (ENG),2015-2021,57,56,2903,2642,69,4/33,38.28,5.46,42.0,2,0
248,JDS Neesham (NZ),2013-2021,66,62,2115,2139,68,5/27,31.45,6.06,31.1,2,2
249,CPH Ramanayake (SL),1986-1995,62,62,2864,2049,68,4/17,30.13,4.29,42.1,1,0
250,HA Varaiya (KENYA),2006-2014,63,60,2951,2048,68,4/25,30.11,4.16,43.3,2,0
251,MA Ealham (ENG),1996-2001,64,62,3227,2197,67,5/15,32.79,4.08,48.1,1,2
252,JR Hopes (AUS),2005-2010,84,75,3157,2384,67,5/14,35.58,4.53,47.1,0,1
253,MS Kasprowicz (AUS),1995-2005,43,42,2225,1674,67,5/45,24.98,4.51,33.2,1,2
254,Khaled Mahmud (BAN),1998-2006,77,75,3385,2865,67,4/19,42.76,5.07,50.5,1,0
255,C Sharma (INDIA),1983-1994,65,63,2835,2336,67,3/22,34.86,4.94,42.3,0,0
256,Taskin Ahmed (BAN),2014-2022,48,47,2207,2050,67,5/28,30.59,5.57,32.9,3,2
257,DT Johnston (IRE),2006-2013,67,63,2930,2115,66,5/14,32.04,4.33,44.3,1,1
258,CC Lewis (ENG),1990-1998,53,49,2625,1942,66,4/30,29.42,4.43,39.7,4,0
259,Maninder Singh (INDIA),1983-1993,59,57,3133,2066,66,4/22,31.30,3.95,47.4,1,0
260,T Panyangara (ZIM),2004-2016,65,65,3242,3024,65,3/28,46.52,5.59,49.8,0,0
261,C White (ENG),1994-2003,51,50,2364,1726,65,5/21,26.55,4.38,36.3,1,1
262,Mehidy Hasan Miraz (BAN),2017-2022,58,57,2912,2183,64,4/25,34.10,4.49,45.5,4,0
263,A Mishra (INDIA),2003-2016,36,34,1917,1511,64,6/48,23.60,4.72,29.9,2,2
264,DJ Nash (NZ),1992-2002,81,78,3416,2622,64,4/38,40.96,4.60,53.3,1,0
